familia,desfecho,exposicao,n_modelos,n_alerta_convergencia,mediana_dispersao_qp
negative_binomial,internacoes_i60_i69,temp_med,2,0,11.21390811451716
negative_binomial,internacoes_i60_i69,ur_med,2,0,11.176561036185381
quasipoisson,internacoes_i60_i62,temp_med,9,0,1.0289894692940353
quasipoisson,internacoes_i60_i62,ur_med,9,0,1.0283323555674
quasipoisson,internacoes_i60_i64,temp_med,9,0,1.0442850831249222
quasipoisson,internacoes_i60_i64,ur_med,9,0,1.04505072296569
quasipoisson,internacoes_i60_i69,temp_med,7,0,1.46409470561819
quasipoisson,internacoes_i60_i69,ur_med,7,0,1.4647109610189148
quasipoisson,internacoes_i63,temp_med,8,2,1.0103913779572713
quasipoisson,internacoes_i63,ur_med,8,2,1.0178770753535518
quasipoisson,obitos_i60_i62,temp_med,6,6,0.9337534759756824
quasipoisson,obitos_i60_i62,ur_med,6,6,0.9339545697502827
quasipoisson,obitos_i60_i64,temp_med,9,0,1.0083292306271519
quasipoisson,obitos_i60_i64,ur_med,9,0,1.0122728711993716
quasipoisson,obitos_i60_i69,temp_med,9,0,1.0171122196324631
quasipoisson,obitos_i60_i69,ur_med,9,0,1.0184562175303786
quasipoisson,obitos_i63,temp_med,3,3,0.9076802315676304
quasipoisson,obitos_i63,ur_med,7,7,0.9607753153252206
