macro_regiao,exposicao,subtipo_cid,n_casos,odds_ratio,ic95_inf,ic95_sup,p_valor
Baia da Ilha Grande,temp_med,all,4906,1.0009424487386032,0.9804814180980571,1.0218304673537764,0.9287679215603484
Baia da Ilha Grande,temp_med,I60_I62,687,0.9870669266331319,0.9378219845108581,1.0388977159254216,0.6181029134118085
Baia da Ilha Grande,temp_med,I63,337,0.9864134863543057,0.9204308200339599,1.0571262335889144,0.6985567891581452
Baia da Ilha Grande,ur_med,all,4906,0.9885799048275595,0.982517537940741,0.9946796779599169,2.5245634842589433e-4
Baia da Ilha Grande,ur_med,I60_I62,687,0.9705007286726852,0.9552060046829328,0.9860403512296324,2.202689428240754e-4
Baia da Ilha Grande,ur_med,I63,337,1.0121937177643374,0.9907956798769834,1.0340538852660288,0.2662359941797917
Baixada Litoranea,temp_med,all,9209,0.9920156504625295,0.9641392909041807,1.0206980049943823,0.5814671966653869
Baixada Litoranea,temp_med,I60_I62,1526,0.9485048833734847,0.8910224762247072,1.009695644935069,0.09741988667512559
Baixada Litoranea,temp_med,I63,406,1.026408923407958,0.910392602005443,1.1572098408211635,0.6701504055988508
Baixada Litoranea,ur_med,all,9209,0.9775995423648665,0.9718079362438506,0.9834256642581969,7.838137662022006e-14
Baixada Litoranea,ur_med,I60_I62,1526,0.9711972446250796,0.9591038002041227,0.9834431766057059,4.84207310130498e-6
Baixada Litoranea,ur_med,I63,406,0.9781726548852423,0.9461473127788549,1.0112819957761519,0.19379543938601407
Centro-Sul,temp_med,all,11117,1.0560951938525458,1.0359172974206512,1.0766661211812407,2.935327427240912e-8
Centro-Sul,temp_med,I60_I62,1174,1.0325016932325284,0.9832336553211737,1.0842384623010175,0.19977857199322108
Centro-Sul,temp_med,I63,220,1.0898838020001975,0.9770746980867685,1.2157173900709481,0.12259530223200005
Centro-Sul,ur_med,all,11117,0.9900968455538685,0.9853946344615889,0.9948214951579717,4.1742769034747465e-5
Centro-Sul,ur_med,I60_I62,1174,0.9987000310837697,0.9860292265301351,1.0115336597035847,0.8417315422928878
Centro-Sul,ur_med,I63,220,0.9833905000234611,0.9604781739517017,1.0068494024779597,0.16377397607674776
Medio Paraiba,temp_med,all,27386,1.0456762954044794,1.010547342095603,1.0820264120465035,0.010413148059420218
Medio Paraiba,temp_med,I60_I62,3694,0.9235344846363979,0.8499001327538098,1.003548430506812,0.060594345424761706
Medio Paraiba,temp_med,I63,477,1.0521827875953202,0.8925920373517715,1.2403075225681786,0.544447844329752
Medio Paraiba,ur_med,all,27386,0.9887112727533646,0.9795528909152353,0.9979552813694564,0.01679854484343439
Medio Paraiba,ur_med,I60_I62,3694,0.9901665925641179,0.9697036539943096,1.01106134538273,0.35366275049843465
Medio Paraiba,ur_med,I63,477,0.9660607050241271,0.9165423642179812,1.0182543897880898,0.1983845384103553
Metropolitana II,temp_med,all,39357,0.8014842987882005,0.7394672423240128,0.8687025529151738,7.221953710670105e-8
Metropolitana II,temp_med,I60_I62,4754,0.843875384498089,0.6880805554517369,1.0349451948896806,0.1030708131392378
Metropolitana II,temp_med,I63,3874,0.8865372967232658,0.7284108509115614,1.0789904866159385,0.2295520723334892
Metropolitana II,ur_med,all,39357,0.9673788168611508,0.9508243995916643,0.9842214563631021,1.6589984065192598e-4
Metropolitana II,ur_med,I60_I62,4754,1.0221813874054517,0.9774915992380467,1.0689143411284525,0.336110377807698
Metropolitana II,ur_med,I63,3874,1.0005456169731697,0.9570836535803864,1.0459812242108657,0.9807937159316023
Noroeste,temp_med,all,10756,0.9914992947720118,0.9700631742703081,1.0134091032502837,0.44394556060855367
Noroeste,temp_med,I60_I62,1761,1.0551118530223604,1.0046136146467928,1.1081484524572018,0.03203642623434976
Noroeste,temp_med,I63,150,0.8916612388390261,0.7498529345359567,1.060287595380241,0.19443475667468355
Noroeste,ur_med,all,10756,1.0016880093625429,0.9950832610350168,1.0083365959317296,0.61728977599736
Noroeste,ur_med,I60_I62,1761,0.9911204209311736,0.9764656323868053,1.005995148426957,0.24057710177921643
Noroeste,ur_med,I63,150,0.9908272319642035,0.9502076401222443,1.0331832350617016,0.6661196180620833
Norte,temp_med,all,15473,0.7678348456666483,0.7457727461243568,0.7905496054713903,1.4217313511444858e-70
Norte,temp_med,I60_I62,4325,0.9564976644577341,0.9078156285206105,1.0077902972479273,0.09515090615492475
Norte,temp_med,I63,2531,0.99229718007972,0.925216481794765,1.064241410490333,0.8285748701829289
Norte,ur_med,all,15473,1.0783449397601972,1.0695394377349845,1.087222937350492,1.121199676061626e-72
Norte,ur_med,I60_I62,4325,1.0040752461174836,0.9898747148528676,1.018479495170999,0.5757337531099522
Norte,ur_med,I63,2531,1.015231996486403,0.9955660909629894,1.035286372291766,0.12983941235850785
Serrana,temp_med,all,32335,1.1005129352986183,1.0703220724332074,1.1315553999613142,1.4937321324718568e-11
Serrana,temp_med,I60_I62,2490,1.007512590933022,0.9274724767342982,1.0944601013528201,0.859335949884035
Serrana,temp_med,I63,500,1.2023063634626079,0.9925018270663782,1.4564613910035686,0.05969022758784325
Serrana,ur_med,all,32335,0.9452249297234923,0.9378803660278274,0.952627008874042,1.7551404003382334e-45
Serrana,ur_med,I60_I62,2490,0.9838922415948368,0.9632844765480116,1.0049408732709542,0.13267673421535267
Serrana,ur_med,I63,500,0.9996615616211745,0.9575273584824837,1.043649801679443,0.9877077064659696
