macro_regiao,metodo_preenchimento,dias,n_estacoes_medio,distancia_media_preenchimento_km
Baia da Ilha Grande,estacao_mais_proxima_com_dado_no_dia,74,1,87.02644943396372
Baia da Ilha Grande,media_estacoes_proprias_macrorregiao,5770,1.5285961871750433,
Baixada Litoranea,estacao_mais_proxima_com_dado_no_dia,229,1,76.03330144259884
Baixada Litoranea,media_estacoes_proprias_macrorregiao,5615,1.6721282279608192,
Centro-Sul,estacao_mais_proxima_com_dado_no_dia,2416,1,28.679178533094124
Centro-Sul,media_estacoes_proprias_macrorregiao,3428,1.3348891481913652,
Medio Paraiba,estacao_mais_proxima_com_dado_no_dia,11,1,48.88340536850276
Medio Paraiba,media_estacoes_proprias_macrorregiao,5833,2.5998628493056746,
Metropolitana I,media_estacoes_proprias_macrorregiao,5844,5.524640657084189,
Metropolitana II,estacao_mais_proxima_com_dado_no_dia,2071,1,41.52043479837861
Metropolitana II,media_estacoes_proprias_macrorregiao,3773,1.723297111052213,
Noroeste,estacao_mais_proxima_com_dado_no_dia,497,1,44.984579693391176
Noroeste,media_estacoes_proprias_macrorregiao,5347,1,
Norte,media_estacoes_proprias_macrorregiao,5844,3,
Serrana,media_estacoes_proprias_macrorregiao,5844,3.857973990417522,
