regiao_saude,ano,n,populacao,taxa
Baia da Ilha Grande,2010,113,248860.0,45.4070561761633
Baia da Ilha Grande,2011,107,248860.0,42.996062042915696
Baia da Ilha Grande,2012,111,254042.0,43.693562481794345
Baia da Ilha Grande,2013,95,260130.0,36.52020143774267
Baia da Ilha Grande,2014,112,264913.0,42.278030900710796
Baia da Ilha Grande,2015,120,269533.0,44.52145006362857
Baia da Ilha Grande,2016,123,274036.0,44.88461370038973
Baia da Ilha Grande,2017,124,278488.0,44.52615552555227
Baia da Ilha Grande,2018,110,286726.0,38.36415253587048
Baia da Ilha Grande,2019,115,291418.0,39.46221578625891
Baia da Ilha Grande,2020,113,295944.0,38.18289946746682
Baia da Ilha Grande,2021,130,300287.0,43.29191739902161
Baia da Ilha Grande,2022,124,253897.0,48.83870230841641
Baia da Ilha Grande,2023,125,262127.5,47.68671734175163
Baia da Ilha Grande,2024,150,270358.0,55.48199054586881
Baixada Litoranea,2010,373,697798.0,53.45386487206899
Baixada Litoranea,2011,372,697798.0,53.310556923350305
Baixada Litoranea,2012,343,715500.0,47.93850454227813
Baixada Litoranea,2013,385,736317.0,52.2872621438864
Baixada Litoranea,2014,385,752911.0,51.13486188938666
Baixada Litoranea,2015,351,768941.0,45.64719529846894
Baixada Litoranea,2016,356,784423.0,45.38367691921323
Baixada Litoranea,2017,361,799469.0,45.154971612407735
Baixada Litoranea,2018,331,823899.0,40.174827254311516
Baixada Litoranea,2019,336,839958.0,40.002000100005
Baixada Litoranea,2020,360,855444.0,42.08340931726682
Baixada Litoranea,2021,410,870304.0,47.10997536492995
Baixada Litoranea,2022,396,846933.0,46.75694535459121
Baixada Litoranea,2023,382,875052.0,43.65454852968738
Baixada Litoranea,2024,473,903171.0,52.37103494244168
Centro-Sul,2010,260,321258.0,80.93183671690666
Centro-Sul,2011,257,321258.0,79.99800783171159
Centro-Sul,2012,208,323097.0,64.37695181323255
Centro-Sul,2013,233,325218.0,71.64425093322018
