macro_regiao,exposicao,p05,p50,p95,p10,p90
Baia da Ilha Grande,temp_med,18.35,22.827219202898547,27.873749999999994,19.217291666666668,26.95708333333333
Baia da Ilha Grande,ur_med,69.68966131907308,81.375,91.1875,72.875,89.11874999999999
Baixada Litoranea,temp_med,19.770833333333332,23.345833333333335,26.9875,20.5292803030303,26.420833333333334
Baixada Litoranea,ur_med,67.42234848484848,80.08333333333333,89.23312499999999,70.625,87.6875
Centro-Sul,temp_med,10.321041666666668,19.670833333333334,26.454166666666666,12.105416666666667,25.58770833333333
Centro-Sul,ur_med,63.25625,80.95833333333333,96.99374999999998,67.79166666666667,93.51648550724637
Medio Paraiba,temp_med,16.7378125,21.88294082125604,26.34375,17.717083333333335,25.61875
Medio Paraiba,ur_med,61.354166666666664,76.67708333333334,87.79166666666666,65.29166666666667,85.37427536231884
Metropolitana I,temp_med,18.953476449275364,23.440486111111113,28.231291666666664,19.760541666666665,27.455277777777777
Metropolitana I,ur_med,62.48234126984127,77.30376984126984,88.96423611111112,66.35541666666667,86.38541666666667
Metropolitana II,temp_med,14.417291666666667,21.996875000000003,28.229166666666668,15.981666666666667,27.211249999999996
Metropolitana II,ur_med,64.94375,79.54166666666666,94.58333333333333,68.375,91.59791666666665
Noroeste,temp_med,18.439375000000002,23.820833333333333,28.620833333333334,19.53875,27.933333333333334
Noroeste,ur_med,61.541666666666664,75.0,88.89177631578946,64.5125,85.58333333333333
Norte,temp_med,19.796458333333334,23.764583333333334,27.6375,20.561944444444443,27.145833333333332
Norte,ur_med,67.25208333333333,77.70833333333333,88.6473544973545,69.49027777777778,86.4325
Serrana,temp_med,12.093055555555555,17.786388888888887,22.439429924242425,13.1431875,21.60958333333333
Serrana,ur_med,67.35729166666665,83.18791666666667,94.78285024154587,71.50625,92.83044871794871
