macro_regiao,exposicao,outcome,contrast,p_principal,fdr_principal,p_P10P90,p_sem_pandemia,concordancia_P10P90,concordancia_semPand
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P05_vs_P50,0.4594014411606554,0.6963558687066776,,0.4206244153601374,True,True
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P95_vs_P50,0.1624811432066654,0.37138547018666374,,0.5584966912066759,True,True
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P05_vs_P50,0.5566091694045282,0.7490814990117015,,0.3648231612866467,True,True
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P95_vs_P50,0.17767190169389824,0.38764778551395984,,0.5481307293734506,True,True
Baia da Ilha Grande,temp_med,obitos_i60_i69,P05_vs_P50,0.1596735411794321,0.3708546762877133,,0.04238101713723406,True,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P95_vs_P50,0.33755497189705086,0.5927794628436015,,0.3529855590333424,True,True
Baia da Ilha Grande,temp_med,obitos_i60_i64,P05_vs_P50,0.015481652765900704,0.07961992851034648,,0.006489797183370143,False,True
Baia da Ilha Grande,temp_med,obitos_i60_i64,P95_vs_P50,0.5482779988034749,0.7519241126447657,,0.3456645914271408,True,True
Baia da Ilha Grande,ur_med,internacoes_i60_i69,P05_vs_P50,0.8615583456061999,0.9122382482889176,,0.7377167601328207,True,True
Baia da Ilha Grande,ur_med,internacoes_i60_i69,P95_vs_P50,0.5672679957047033,0.7563573276062712,,0.08532566923254045,True,True
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P05_vs_P50,0.7967597803763828,0.9034126643637727,,0.8851816545145489,True,True
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P95_vs_P50,0.6251411451550072,0.8037529009135806,,0.1209854781868874,True,True
Baia da Ilha Grande,ur_med,obitos_i60_i69,P05_vs_P50,0.05171114641542261,0.16923647917774673,,0.3317830645059163,True,True
Baia da Ilha Grande,ur_med,obitos_i60_i69,P95_vs_P50,0.22463227696834553,0.45559222371044733,,0.24944292036144688,True,True
Baia da Ilha Grande,ur_med,obitos_i60_i64,P05_vs_P50,0.07948172352184213,0.22890736374290532,,0.2957793313042274,True,True
Baia da Ilha Grande,ur_med,obitos_i60_i64,P95_vs_P50,0.5674402929608042,0.7496458916179433,,0.5540705233624359,True,True
Baixada Litoranea,temp_med,internacoes_i60_i69,P05_vs_P50,0.025177449260574615,0.10358721981493556,,0.06626331340072387,False,False
Baixada Litoranea,temp_med,internacoes_i60_i69,P95_vs_P50,0.0024133108451690386,0.026732058592641657,,0.0002228416320343872,False,True
Baixada Litoranea,temp_med,internacoes_i60_i64,P05_vs_P50,0.02358385134450467,0.10291135132147493,,0.06957649634692548,False,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P95_vs_P50,0.005187919335110347,0.043944728485640586,,0.0005393527161960677,False,True
Baixada Litoranea,temp_med,obitos_i60_i69,P05_vs_P50,0.21487772476859135,0.4484404690822776,,0.285046633147815,True,True
Baixada Litoranea,temp_med,obitos_i60_i69,P95_vs_P50,0.5399428298667908,0.754871529134154,,0.7242646689967956,True,True
Baixada Litoranea,temp_med,obitos_i60_i64,P05_vs_P50,0.3077583119964169,0.5539649615935505,,0.3633853307137258,True,True
Baixada Litoranea,temp_med,obitos_i60_i64,P95_vs_P50,0.46461485302261396,0.6969222795339208,,0.559867201586862,True,True
Baixada Litoranea,ur_med,internacoes_i60_i69,P05_vs_P50,0.038610232449712734,0.13899683681896585,,0.009533167026459953,False,True
Baixada Litoranea,ur_med,internacoes_i60_i69,P95_vs_P50,0.009645896786124002,0.06945045686009281,,0.015750721551416203,False,True
Baixada Litoranea,ur_med,internacoes_i60_i64,P05_vs_P50,0.05750441108234428,0.17618372757143783,,0.01322459321484725,True,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P95_vs_P50,0.016479071429170326,0.08182711330346644,,0.0242865899450109,False,True
Baixada Litoranea,ur_med,obitos_i60_i69,P05_vs_P50,0.6071948856202368,0.7948733048119463,,0.7543702311277793,True,True
Baixada Litoranea,ur_med,obitos_i60_i69,P95_vs_P50,0.8505883739192049,0.9209377883035001,,0.5632651306868495,True,True
Baixada Litoranea,ur_med,obitos_i60_i64,P05_vs_P50,0.8508177149343933,0.9143115742578555,,0.8137518498349838,True,True
Baixada Litoranea,ur_med,obitos_i60_i64,P95_vs_P50,0.6276781735554582,0.7998730707255397,,0.14341604064630334,True,True
Centro-Sul,temp_med,internacoes_i60_i69,P05_vs_P50,0.0034121528804882755,0.030709375924394478,,0.0022823391462075773,False,True
Centro-Sul,temp_med,internacoes_i60_i69,P95_vs_P50,0.4776949257603552,0.7019190745866444,,0.16586720895501628,True,True
Centro-Sul,temp_med,internacoes_i60_i64,P05_vs_P50,0.011642489048178266,0.0698549342890696,,0.010142921316888192,False,True
Centro-Sul,temp_med,internacoes_i60_i64,P95_vs_P50,0.43489387614551067,0.6807034583147124,,0.15233198171581525,True,True
Centro-Sul,temp_med,obitos_i60_i69,P05_vs_P50,0.9924456676676687,0.9924456676676687,,0.9978360435472468,True,True
Centro-Sul,temp_med,obitos_i60_i69,P95_vs_P50,0.08930355670110275,0.2521512189207607,,0.09078439055664485,True,True
Centro-Sul,temp_med,obitos_i60_i64,P05_vs_P50,0.8316742290407946,0.9212391460144186,,0.902414935478986,True,True
Centro-Sul,temp_med,obitos_i60_i64,P95_vs_P50,0.05291565611215188,0.16564901043804067,,0.053682631799332095,True,True
Centro-Sul,ur_med,internacoes_i60_i69,P05_vs_P50,0.2685323017262562,0.5297075540901491,,0.14741363852324915,True,True
Centro-Sul,ur_med,internacoes_i60_i69,P95_vs_P50,0.0005569174395293325,0.00891067903246932,,0.0009364296667189933,False,True
Centro-Sul,ur_med,internacoes_i60_i64,P05_vs_P50,0.28273550934119895,0.5357093861201665,,0.1755100558801529,True,True
Centro-Sul,ur_med,internacoes_i60_i64,P95_vs_P50,0.00018985594010987214,0.0039056079108316555,,0.0004374938366238379,False,True
Centro-Sul,ur_med,obitos_i60_i69,P05_vs_P50,0.27726041585107986,0.5395337821966959,,0.15435284515072673,True,True
Centro-Sul,ur_med,obitos_i60_i69,P95_vs_P50,0.013324001268357071,0.0737944685632084,,0.013891740469180208,False,True
Centro-Sul,ur_med,obitos_i60_i64,P05_vs_P50,0.2511196721038754,0.5022393442077508,,0.16713853102551102,True,True
Centro-Sul,ur_med,obitos_i60_i64,P95_vs_P50,0.032887487665025125,0.12462626904641101,,0.060192995926578695,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P05_vs_P50,0.019790217762741584,0.09192875347854156,,0.005871484410632737,False,True
Medio Paraiba,temp_med,internacoes_i60_i69,P95_vs_P50,0.04024663299082584,0.14135402806533956,,0.49227517030159684,False,False
Medio Paraiba,temp_med,internacoes_i60_i64,P05_vs_P50,0.01509436814776744,0.08050329678809301,,0.00644495889424917,False,True
Medio Paraiba,temp_med,internacoes_i60_i64,P95_vs_P50,0.03131838333225258,0.12188776215795598,,0.3985351882286028,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P05_vs_P50,0.1956939474727375,0.4205959468070776,,0.13412338050888623,True,True
Medio Paraiba,temp_med,obitos_i60_i69,P95_vs_P50,0.8055948622639588,0.9062942200469537,,0.6698339154694378,True,True
Medio Paraiba,temp_med,obitos_i60_i64,P05_vs_P50,0.30337373138611534,0.552985029362033,,0.10925773900410986,True,True
Medio Paraiba,temp_med,obitos_i60_i64,P95_vs_P50,0.7120614154346481,0.8544736985215776,,0.8169768723709053,True,True
Medio Paraiba,ur_med,internacoes_i60_i69,P05_vs_P50,0.5374708846152811,0.7587824253392205,,0.6506825993679928,True,True
Medio Paraiba,ur_med,internacoes_i60_i69,P95_vs_P50,0.6695221240344749,0.8240272295808921,,0.6105817673084263,True,True
Medio Paraiba,ur_med,internacoes_i60_i64,P05_vs_P50,0.11366543732447096,0.2922825531200682,,0.2433236552954421,True,True
Medio Paraiba,ur_med,internacoes_i60_i64,P95_vs_P50,0.42313539539651523,0.6695768894186614,,0.511642408222506,True,True
Medio Paraiba,ur_med,obitos_i60_i69,P05_vs_P50,0.36219621011581593,0.6064680727520638,,0.6854157671040566,True,True
Medio Paraiba,ur_med,obitos_i60_i69,P95_vs_P50,0.4384748768060671,0.6789288415061684,,0.8902888008273945,True,True
Medio Paraiba,ur_med,obitos_i60_i64,P05_vs_P50,0.05265354946310368,0.1684913582819318,,0.16101215061179908,True,True
Medio Paraiba,ur_med,obitos_i60_i64,P95_vs_P50,0.05884747133093927,0.1765424139928178,,0.1958403883982982,True,True
Metropolitana I,temp_med,internacoes_i60_i69,P05_vs_P50,4.3774034469388916e-05,0.001050576827265334,,0.010655354922990221,False,True
Metropolitana I,temp_med,internacoes_i60_i69,P95_vs_P50,0.09648819234659455,0.2621565980737663,,0.5027621064947009,True,True
Metropolitana I,temp_med,internacoes_i60_i64,P05_vs_P50,1.5351140480085509e-06,4.421128458264626e-05,,0.0006302019566066707,False,True
Metropolitana I,temp_med,internacoes_i60_i64,P95_vs_P50,0.11524363392223749,0.2911418120140737,,0.843281411400806,True,True
Metropolitana I,temp_med,obitos_i60_i69,P05_vs_P50,0.01994441060058225,0.08974984770262012,,0.5179727759361882,False,False
Metropolitana I,temp_med,obitos_i60_i69,P95_vs_P50,0.07530312303932925,0.22129897382986555,,0.34119891629217347,True,True
Metropolitana I,temp_med,obitos_i60_i64,P05_vs_P50,0.010754785313425302,0.06733430804927146,,0.12764004374514018,False,False
Metropolitana I,temp_med,obitos_i60_i64,P95_vs_P50,0.6360023301739484,0.8033713644302505,,0.4846953565382339,True,True
Metropolitana I,ur_med,internacoes_i60_i69,P05_vs_P50,0.5002284793179443,0.7131970398196434,,0.3796481321751819,True,True
Metropolitana I,ur_med,internacoes_i60_i69,P95_vs_P50,0.00988744114342671,0.06779959641206887,,0.008438805016067509,False,True
Metropolitana I,ur_med,internacoes_i60_i64,P05_vs_P50,0.7458538838069216,0.8803521251491534,,0.42495801889581475,True,True
Metropolitana I,ur_med,internacoes_i60_i64,P95_vs_P50,0.0016397688748180594,0.021466065270345506,,0.0008089380386155098,False,True
Metropolitana I,ur_med,obitos_i60_i69,P05_vs_P50,0.1266581402328401,0.3091317320937115,,0.10208415211607506,True,True
Metropolitana I,ur_med,obitos_i60_i69,P95_vs_P50,0.16409662066488895,0.36921739649600016,,0.07715545422017148,True,True
Metropolitana I,ur_med,obitos_i60_i64,P05_vs_P50,0.13722051080664818,0.32932922593595565,,0.20746552361596104,True,True
Metropolitana I,ur_med,obitos_i60_i64,P95_vs_P50,0.7934569268718104,0.9068079164249261,,0.4668359441582788,True,True
Metropolitana II,temp_med,internacoes_i60_i69,P05_vs_P50,1.6310520179293362e-11,7.829049686060814e-10,,6.344128958030396e-07,False,True
Metropolitana II,temp_med,internacoes_i60_i69,P95_vs_P50,0.0014637214598122905,0.021077589021296982,,5.268574479737146e-05,False,True
Metropolitana II,temp_med,internacoes_i60_i64,P05_vs_P50,1.696646556395616e-11,6.107927603024218e-10,,6.488846551087115e-07,False,True
Metropolitana II,temp_med,internacoes_i60_i64,P95_vs_P50,0.0022085615964312477,0.026502739157174975,,7.098387633724829e-05,False,True
Metropolitana II,temp_med,obitos_i60_i69,P05_vs_P50,0.17498287065897744,0.3876543596137346,,0.12798129187281665,True,True
Metropolitana II,temp_med,obitos_i60_i69,P95_vs_P50,0.049454753038565974,0.16561591715240698,,0.025047786392967605,False,True
Metropolitana II,temp_med,obitos_i60_i64,P05_vs_P50,0.0024742722191615327,0.025449657111375763,,0.004928461866701463,False,True
Metropolitana II,temp_med,obitos_i60_i64,P95_vs_P50,0.6863229980934489,0.8375467095377681,,0.3590869108586263,True,True
Metropolitana II,ur_med,internacoes_i60_i69,P05_vs_P50,0.0030078105499084687,0.0288749812791213,,0.0002796594166478923,False,True
Metropolitana II,ur_med,internacoes_i60_i69,P95_vs_P50,2.223058702310014e-17,1.6006022656632102e-15,,2.621986780094368e-14,False,True
Metropolitana II,ur_med,internacoes_i60_i64,P05_vs_P50,0.007496920164352094,0.056818763350879035,,0.00047414670896268933,False,True
Metropolitana II,ur_med,internacoes_i60_i64,P95_vs_P50,8.905845217207946e-18,1.2824417112779443e-15,,1.6575421169589637e-14,False,True
Metropolitana II,ur_med,obitos_i60_i69,P05_vs_P50,0.04340704181557977,0.14882414336770206,,0.11153168933844915,False,False
Metropolitana II,ur_med,obitos_i60_i69,P95_vs_P50,0.12568996418848974,0.3120578421231469,,0.5042287391457941,True,True
Metropolitana II,ur_med,obitos_i60_i64,P05_vs_P50,0.2897554898373068,0.5418803965788594,,0.47812928668295096,True,True
Metropolitana II,ur_med,obitos_i60_i64,P95_vs_P50,0.28213273489904866,0.5416948510061734,,0.7096716896533781,True,True
Noroeste,temp_med,internacoes_i60_i69,P05_vs_P50,0.8430274511844662,0.919666310383054,,0.6347078511825054,True,True
Noroeste,temp_med,internacoes_i60_i69,P95_vs_P50,0.7468271846472926,0.8743342649529279,,0.32615196504312627,True,True
Noroeste,temp_med,internacoes_i60_i64,P05_vs_P50,0.5476329191364243,0.7582609649581259,,0.5163994390660227,True,True
Noroeste,temp_med,internacoes_i60_i64,P95_vs_P50,0.910939144830208,0.9505451946054343,,0.34601916295234636,True,True
Noroeste,temp_med,obitos_i60_i69,P05_vs_P50,0.6404269823259265,0.8019259604776819,,0.79171481210941,True,True
Noroeste,temp_med,obitos_i60_i69,P95_vs_P50,0.40396899255241525,0.6536127519949191,,0.6317213662309911,True,True
Noroeste,temp_med,obitos_i60_i64,P05_vs_P50,0.96603533664935,0.993636346267903,,0.6790620369673812,True,True
Noroeste,temp_med,obitos_i60_i64,P95_vs_P50,0.3481449199367641,0.5897984525987533,,0.3327077980579862,True,True
Noroeste,ur_med,internacoes_i60_i69,P05_vs_P50,0.49118154391919255,0.7073014232436372,,0.9979085907499445,True,True
Noroeste,ur_med,internacoes_i60_i69,P95_vs_P50,0.6214334064195015,0.8061838785982722,,0.22316077360671105,True,True
Noroeste,ur_med,internacoes_i60_i64,P05_vs_P50,0.47765451555650884,0.7090953633003843,,0.74765793655898,True,True
Noroeste,ur_med,internacoes_i60_i64,P95_vs_P50,0.8968856382872784,0.9427119117764096,,0.4582026440253676,True,True
Noroeste,ur_med,obitos_i60_i69,P05_vs_P50,0.3794151908098885,0.6208612213252721,,0.4101916094880811,True,True
Noroeste,ur_med,obitos_i60_i69,P95_vs_P50,0.7174234380903266,0.8537931825207193,,0.6661606410742016,True,True
Noroeste,ur_med,obitos_i60_i64,P05_vs_P50,0.29878236538294334,0.5515982130146647,,0.302286681038467,True,True
Noroeste,ur_med,obitos_i60_i64,P95_vs_P50,0.8282808104359066,0.9245925325796166,,0.837097024174905,True,True
Norte,temp_med,internacoes_i60_i69,P05_vs_P50,0.010375751443694202,0.06791400944963479,,0.018264186540737144,False,True
Norte,temp_med,internacoes_i60_i69,P95_vs_P50,0.5535200839046418,0.7519518120968719,,0.956640503420062,True,True
Norte,temp_med,internacoes_i60_i64,P05_vs_P50,0.025083518759596874,0.1062360794524103,,0.03334128276111126,False,True
Norte,temp_med,internacoes_i60_i64,P95_vs_P50,0.3219200705723133,0.5723023476841126,,0.7557830625772296,True,True
Norte,temp_med,obitos_i60_i69,P05_vs_P50,0.48284073736846034,0.7023137998086695,,0.7052808169312283,True,True
Norte,temp_med,obitos_i60_i69,P95_vs_P50,0.968277217434432,0.9888788603585689,,0.6079307028083345,True,True
Norte,temp_med,obitos_i60_i64,P05_vs_P50,0.9764025701656375,0.9901547190412098,,0.6229955120123067,True,True
Norte,temp_med,obitos_i60_i64,P95_vs_P50,0.14083413618802007,0.3324609116569654,,0.08674655351114617,True,True
Norte,ur_med,internacoes_i60_i69,P05_vs_P50,0.9834339301176332,0.9903110904681062,,0.6813401398470074,True,True
Norte,ur_med,internacoes_i60_i69,P95_vs_P50,0.6511554372409019,0.8083308876093954,,0.625828172211862,True,True
Norte,ur_med,internacoes_i60_i64,P05_vs_P50,0.9132097176206886,0.9460589880386989,,0.7490144827465188,True,True
Norte,ur_med,internacoes_i60_i64,P95_vs_P50,0.44560829805581825,0.6826339885110407,,0.5238226487787139,True,True
Norte,ur_med,obitos_i60_i69,P05_vs_P50,0.20728331869100924,0.438952910169196,,0.17630285749480912,True,True
Norte,ur_med,obitos_i60_i69,P95_vs_P50,0.34344928376520034,0.5958638176167331,,0.22384679443825817,True,True
Norte,ur_med,obitos_i60_i64,P05_vs_P50,0.09317528865518786,0.25802387627590484,,0.07508929580674441,True,True
Norte,ur_med,obitos_i60_i64,P95_vs_P50,0.7723873682624092,0.8969659760466687,,0.4605455970161091,True,True
Serrana,temp_med,internacoes_i60_i69,P05_vs_P50,0.22309944185125774,0.45894742323687304,,0.4622829982493005,True,True
Serrana,temp_med,internacoes_i60_i69,P95_vs_P50,0.4119914214307714,0.6591862742892343,,0.21591289741891417,True,True
Serrana,temp_med,internacoes_i60_i64,P05_vs_P50,0.8510198953866394,0.907754555079082,,0.9835301566872664,True,True
Serrana,temp_med,internacoes_i60_i64,P95_vs_P50,0.09810090032188301,0.2616024008583547,,0.02399878301936156,True,False
Serrana,temp_med,obitos_i60_i69,P05_vs_P50,0.0191559101072823,0.09194836851495504,,0.0827604792294261,False,False
Serrana,temp_med,obitos_i60_i69,P95_vs_P50,0.0066257670513237875,0.0530061364105903,,0.000376941914231113,False,True
Serrana,temp_med,obitos_i60_i64,P05_vs_P50,0.011692966857754979,0.06735148910066868,,0.0451114531836291,False,True
Serrana,temp_med,obitos_i60_i64,P95_vs_P50,0.03497729300851666,0.12914692803144612,,0.0030926880481947304,False,True
Serrana,ur_med,internacoes_i60_i69,P05_vs_P50,0.10615674404163863,0.27793765712719937,,0.022908820347366077,True,False
Serrana,ur_med,internacoes_i60_i69,P95_vs_P50,0.029753590465552864,0.11901436186221145,,0.36827066086888705,False,False
Serrana,ur_med,internacoes_i60_i64,P05_vs_P50,0.34539552958356023,0.592106622143246,,0.026646932467294063,True,False
Serrana,ur_med,internacoes_i60_i64,P95_vs_P50,0.0002702979587166877,0.004865363256900379,,0.1326169551963728,False,False
Serrana,ur_med,obitos_i60_i69,P05_vs_P50,0.6942969795950517,0.840157689594012,,0.6836545423190522,True,True
Serrana,ur_med,obitos_i60_i69,P95_vs_P50,0.8421310436969194,0.9257012999416518,,0.7624234639756559,True,True
Serrana,ur_med,obitos_i60_i64,P05_vs_P50,0.369195574228548,0.6110823297575966,,0.46446754126362844,True,True
