macro_regiao,exposicao,outcome,sensibilidade,contrast,n_extreme,n_ref,median_ext,median_ref,U_stat,p_value,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,247,1.0,1.0,68924.0,0.2603934650563363,-0.058119658119658135,0.46870823710140536,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,247,1.0,1.0,68056.5,0.15466813566974824,-0.10598290598290605,0.34800330525693357,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,247,1.0,1.0,68872.0,0.2500088709994115,-0.05506072874493928,0.47370101873572706,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,247,1.0,1.0,68054.0,0.15190284287644243,-0.10121457489878538,0.34720649800329695,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,247,0.0,0.0,75825.0,0.15714470342349915,0.07026540710751233,0.3428611711058163,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,247,0.0,0.0,73763.5,0.5406301268659531,0.03436797121007645,0.7142269565935528,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,247,0.0,0.0,78157.0,0.008235816881179046,0.09959514170040487,0.05929788154448914,1.0,False,True,False
Baia da Ilha Grande,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,247,0.0,0.0,73865.0,0.4312956969195545,0.034637876743139895,0.6149166371922361,1.0,False,False,False
Baia da Ilha Grande,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,588,326,1.0,1.0,100562.0,0.18476346024335122,0.05306539793831644,0.3800848325006082,1.0,False,False,False
Baia da Ilha Grande,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,326,1.0,1.0,95752.5,0.9100926658638346,-0.022741335011273622,0.9360953134599441,1.0,False,False,False
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,588,326,1.0,0.5,99889.0,0.2523368306918711,0.04805725971370145,0.47190264441077184,1.0,False,False,False
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,326,1.0,0.5,95943.5,0.8663911657389897,-0.010917099260657537,0.9310472228836904,1.0,False,False,False
Baia da Ilha Grande,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,588,326,0.0,0.0,104363.5,0.004042321430477594,0.10457618630274196,0.034240840352280796,0.5820942859887736,True,True,False
Baia da Ilha Grande,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,326,0.0,0.0,99106.5,0.18520736118500303,0.03292957894184889,0.37563183113578075,1.0,False,False,False
Baia da Ilha Grande,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,588,326,0.0,0.0,102278.0,0.011521803569757034,0.06838195400859731,0.0691308214185422,1.0,False,True,False
Baia da Ilha Grande,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,326,0.0,0.0,97770.0,0.30921264299981255,0.01826857532379006,0.5177514022322443,1.0,False,False,False
Baixada Litoranea,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,240,1.0,1.0,76487.5,0.03742093608084828,0.1974358974358974,0.13816961014467058,1.0,False,False,False
Baixada Litoranea,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,586,240,1.0,1.0,77460.5,0.018295466499847438,0.22866894197952226,0.09084645434407003,1.0,False,True,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,240,1.0,1.0,76200.5,0.04665060014084538,0.17959401709401712,0.15994491476861272,1.0,False,False,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,586,240,1.0,1.0,76823.5,0.031230566810419257,0.19219283276450505,0.12492226724167704,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,240,1.0,1.0,72856.0,0.36690130429645407,0.07478632478632485,0.5446782249349421,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,586,240,1.0,1.0,68307.5,0.491788821878283,-0.06012514220705345,0.6875494208783762,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,240,0.0,0.0,73740.0,0.20784056587497557,0.06217948717948718,0.4099868696711847,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,586,240,0.0,0.0,69256.0,0.6998573108358264,-0.03967576791808869,0.8328880393418099,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,586,303,1.5,1.0,95734.5,0.049012649067784436,0.21950010700728773,0.16413538292467347,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,586,303,1.0,1.0,79726.0,0.009839311854497608,-0.18664323770260993,0.0674695670022693,1.0,False,True,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,586,303,1.0,1.0,95465.0,0.05781197420677938,0.2041755370076257,0.1698964139954333,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,586,303,1.0,1.0,80310.5,0.015397901382145454,-0.16613163022786925,0.07918920710817663,1.0,False,True,False
Baixada Litoranea,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,586,303,1.0,1.0,90718.5,0.5727618841961024,0.004088804784915245,0.7364081368235603,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,586,303,1.0,1.0,89357.0,0.8663946197258194,-0.03174737268948735,0.9241542610408741,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,586,303,0.0,0.0,91732.0,0.3673364903172711,0.02526498383626763,0.5397597408743575,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,586,303,0.0,0.0,89860.5,0.7399428721794123,-0.010571193638135079,0.852414188750683,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,191,1.0,2.0,46447.5,0.0003177393621096478,-0.4306707835503647,0.005083829793754365,0.045754468143789286,True,True,True
Centro-Sul,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,191,2.0,2.0,53318.5,0.33138291737070535,-0.14691009978968084,0.5361701134986693,1.0,False,False,False
Centro-Sul,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,191,1.0,2.0,46782.0,0.0004991436105297679,-0.44956369982547995,0.006534243628753325,0.07187667991628657,True,True,False
Centro-Sul,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,191,2.0,2.0,53456.5,0.3575183173290377,-0.15554660580838586,0.5419225020566466,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,191,0.0,0.0,54451.5,0.5616718375484133,-0.09559224951895107,0.7286553568195633,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,191,0.0,0.0,51268.0,0.055571634380778716,-0.18448113840783997,0.17026202874110924,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,191,0.0,0.0,55193.0,0.7688267130884042,-0.02505034232782921,0.8717405250766158,1.0,False,False,False
Centro-Sul,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,191,0.0,0.0,51410.0,0.0435523016430124,-0.10881102608851301,0.15678828591484464,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,586,289,2.0,2.0,82946.5,0.6136640645176927,0.0031236345170471136,0.7617898731943772,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,289,1.0,2.0,72477.5,0.00041168496858207945,-0.19021086564339162,0.005928263547581944,0.05928263547581944,True,True,False
Centro-Sul,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,586,289,2.0,2.0,82342.5,0.49458656944032986,-0.04594517991898628,0.6782901523753094,1.0,False,False,False
Centro-Sul,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,289,1.0,2.0,71809.0,0.00018296504562384066,-0.3182622068435217,0.004391161094972176,0.026346966569833055,True,True,True
Centro-Sul,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,586,289,0.0,0.0,89852.5,0.09676221019979267,0.1262090059874582,0.248817111942324,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,289,0.0,0.0,91722.5,0.021772643961715105,0.15463874841037473,0.09797689782771797,1.0,False,True,False
Centro-Sul,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,586,289,0.0,0.0,89155.0,0.11703277145017353,0.09282922163043095,0.27627408342336046,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,289,0.0,0.0,90967.5,0.026175561549939545,0.11576612545470677,0.11422063221791802,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,248,4.0,4.0,78642.5,0.05281329723534631,0.6673904052936317,0.1690025511531082,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,586,248,3.0,4.0,65882.0,0.031472143161683085,-0.336328856104811,0.12248617879141524,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,248,4.0,3.0,80275.0,0.013874585516628941,0.3713950923628344,0.0768438582459449,1.0,False,True,False
Medio Paraiba,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,586,248,3.0,3.0,66888.5,0.06606836842962302,-0.2681107563580314,0.18654598144834736,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,248,1.0,1.0,75506.5,0.3353801077452965,0.10399090157154678,0.524942777340464,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,586,248,1.0,1.0,69675.5,0.3317235926789086,-0.08996201695475059,0.5307577482862538,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,248,1.0,1.0,74757.0,0.4588071153584644,0.0370347394540943,0.6477276922707733,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,586,248,1.0,1.0,69935.0,0.3597449445091456,-0.08409941649234842,0.5396174167637184,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,586,328,4.0,3.0,94688.0,0.7090971712496927,0.1480063264796465,0.836967152950457,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,328,4.0,3.0,95187.5,0.8426965175417699,0.007129455909943516,0.9334484502001142,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,586,328,3.0,3.0,92265.5,0.31031425053174966,-0.15970198951136272,0.5136235870870339,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,328,3.0,3.0,93404.5,0.5024874228386154,-0.11288305190744241,0.6826244234788736,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,586,328,1.0,2.0,88709.5,0.04627199966655357,-0.17985723799217523,0.16251629151179792,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,328,1.0,2.0,90699.5,0.1569014978134978,-0.13634042109651867,0.34759716438682586,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,586,328,1.0,1.0,87021.5,0.011420549737456048,-0.14175268459169232,0.07150257226929004,1.0,False,True,False
Medio Paraiba,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,328,1.0,1.0,89519.5,0.07427287851563097,-0.08219199499687302,0.20567874050482424,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,247,23.0,21.0,82449.5,0.0012653021305557286,1.7811066126855586,0.012146900453334995,0.18220350680002492,True,True,False
Metropolitana I,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,247,20.0,21.0,67245.5,0.11393373494189352,4.208457040035984,0.27807555646835025,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,247,21.0,19.0,84488.0,0.00010946701482304705,1.9064327485380126,0.0031526500269037547,0.015763250134518774,True,True,True
Metropolitana I,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,247,18.0,19.0,68145.0,0.19470030600931154,-0.9670715249662614,0.3894006120186231,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,247,16.0,16.0,79961.0,0.014674244386116487,0.947278452541612,0.0782626367259546,1.0,False,True,False
Metropolitana I,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,247,16.0,16.0,77214.0,0.11605206515650501,0.4549707602339179,0.278524956375612,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,247,11.0,10.0,78978.5,0.03292726631151834,0.6406657669815559,0.12477700918049055,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,247,10.0,10.0,71533.0,0.8210128461669397,-0.13882141250562263,0.9236394519378072,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,336,22.0,22.0,94527.5,0.3338160310065629,5.161691086691086,0.5282363567576379,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,336,20.0,22.0,86226.5,0.0019052076833478604,-0.8246336996337007,0.017146869150130743,0.2743499064020919,True,True,False
Metropolitana I,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,336,20.0,20.0,93941.5,0.26373578642343276,-0.7259004884004874,0.4688636203083249,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,336,19.0,20.0,84141.5,0.00027019083908842197,-1.8164987789987777,0.0048634351035915955,0.038907480828732764,True,True,True
Metropolitana I,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,336,16.0,16.0,106676.0,0.030368835046251506,0.5250915750915741,0.1249460641902919,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,336,15.0,16.0,93987.0,0.2682818545710641,-0.4304639804639798,0.47112911046625894,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,336,11.0,10.0,105615.5,0.05811219849357152,0.3582112332112324,0.16736313166148598,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,336,10.0,10.0,96939.0,0.7291833049417822,-0.105036630036631,0.8536780155415986,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,339,5.0,6.0,68135.5,1.4575219805958384e-15,-1.6988427501701837,6.996105506860025e-14,2.0988316520580072e-13,True,True,True
Metropolitana II,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,339,7.0,6.0,112540.5,0.0005879658124335219,0.779789728462295,0.007055589749202263,0.08466707699042715,True,True,False
Metropolitana II,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,339,4.0,6.0,68414.5,2.549040593626115e-15,-1.7522123893805306,9.176546137054015e-14,3.670618454821606e-13,True,True,True
Metropolitana II,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,339,7.0,6.0,112062.0,0.0009158489267421433,0.7571893200211788,0.010144788111605279,0.13188224545086863,True,True,False
Metropolitana II,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,339,3.0,3.0,105914.5,0.07944890653584913,0.2339762499054534,0.21186375076226435,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,339,3.0,3.0,94763.5,0.2543881111696251,-0.13696392103471755,0.4696395898516156,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,339,2.0,2.0,111726.5,0.000986540732303148,0.3184327963089024,0.010147276103689522,0.1420618654516533,True,True,False
Metropolitana II,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,339,2.0,2.0,99247.0,0.9813121858722653,-0.03712275924665298,0.9951334842648325,1.0,False,False,False
Metropolitana II,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,587,328,7.0,7.0,105224.0,0.019007062576248852,0.6847498649603194,0.09123390036599449,1.0,False,True,False
Metropolitana II,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,328,5.0,7.0,64885.0,3.1451664708521994e-16,-1.8856107984156765,2.2645198590135834e-14,4.529039718027167e-14,True,True,True
Metropolitana II,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,587,328,7.0,6.0,103660.0,0.052817981964114226,0.4666192296505587,0.16534324788766194,1.0,False,False,False
