estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo,temp_med,P05_vs_P50,1306.0,1066,2,1.0,2.0,3.0849923430321593,3.027204502814259,667471.0,0.06318687190578577,0.0577878402179004,,,,,,,,0.2442415625589027,1.0,False,False,False
sexo,temp_med,P95_vs_P50,,1066,2,,2.0,,3.027204502814259,608540.0,0.4908748287855579,0.2865886006340168,1160.0,1.0,3.3137931034482757,,,,,0.7047560041849795,1.0,False,False,False
sexo,temp_med,P05_vs_P50,1843.0,1543,3,2.0,2.0,3.846446011937059,3.8950097213220998,1370712.0,0.062249889591743345,-0.04856370938504062,,,,,,,,0.2553515879171513,1.0,False,False,False
sexo,temp_med,P95_vs_P50,,1543,3,,2.0,,3.8950097213220998,1367447.5,0.2162955992240474,0.30708278969111635,1816.0,2.0,4.202092511013216,,,,,0.4576359520424582,1.0,False,False,False
sexo,temp_med,P05_vs_P50,2128.0,1808,1,3.0,3.0,5.402725563909774,5.287610619469026,1910700.0,0.7097376364453664,0.11511494444074799,,,,,,,,0.8391603819148155,1.0,False,False,False
sexo,temp_med,P95_vs_P50,,1808,1,,3.0,,5.287610619469026,1843181.5,0.06768570894597897,0.6189801818586176,2109.0,2.0,5.906590801327644,,,,,0.2519412499655884,1.0,False,False,False
sexo,ur_med,P05_vs_P50,1216.0,1347,2,1.0,2.0,3.216282894736842,3.250927988121752,786016.0,0.059887186305641486,-0.03464509338490984,,,,,,,,0.25611328611561573,1.0,False,False,False
sexo,ur_med,P95_vs_P50,,1347,2,,2.0,,3.250927988121752,791005.0,0.00034916744288482983,-0.29895948418474383,1270.0,1.0,2.951968503937008,,,,,0.005013046858560771,0.0701826560198508,True,True,False
sexo,ur_med,P05_vs_P50,1843.0,1949,3,2.0,2.0,3.956592512208356,3.9194458696767573,1799521.0,0.9143866816822039,0.037146642531598495,,,,,,,,0.9572485573860572,1.0,False,False,False
sexo,ur_med,P95_vs_P50,,1949,3,,2.0,,3.9194458696767573,1611467.0,0.0022383735403935998,-0.27561025323840127,1752.0,2.0,3.643835616438356,,,,,0.019561438331265807,0.44991308161911353,True,True,False
sexo,ur_med,P05_vs_P50,2111.0,2276,1,3.0,3.0,5.255329227854098,5.3651142355008785,2405928.0,0.9302572697442166,-0.10978500764678056,,,,,,,,0.9638232537040595,1.0,False,False,False
sexo,ur_med,P95_vs_P50,,2276,1,,3.0,,5.3651142355008785,2255910.0,0.00876512491714753,-0.40220479426773803,2076.0,2.0,4.9629094412331405,,,,,0.06292107529809478,1.0,False,True,False
faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,,0.0,0.0,0.26638878363016294,0.25856555504796713,2862091.5,0.4255608988868509,0.007823228582195807,,,,<40,,,,0.6455678541604304,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,,2189,,,0.0,,0.25856555504796713,2892880.0,0.7908523214441451,0.060599530341027164,2635.0,0.0,0.3191650853889943,<40,,,,0.9109531037838005,1.0,False,False,False
