macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P05_vs_P50,294.0,247,1.0,1.0,0.8843537414965986,0.9230769230769231,35055.0,0.4594014411606554,-0.038723181580324506,,,,0.6963558687066776,1.0,False,False,False,-0.03453689167974882,0.03453689167974882,negligenciável
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P95_vs_P50,,247,,1.0,,0.9230769230769231,33836.5,0.1624811432066654,-0.1210291415069572,293.0,1.0,0.8020477815699659,0.37138547018666374,1.0,False,False,False,-0.06491550482928245,0.06491550482928245,negligenciável
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P05_vs_P50,294.0,247,1.0,1.0,0.8469387755102041,0.8704453441295547,35317.5,0.5566091694045282,-0.02350656861935052,,,,0.7490814990117015,1.0,False,False,False,-0.027307279186978436,0.027307279186978436,negligenciável
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P95_vs_P50,,247,,1.0,,0.8704453441295547,33931.5,0.17767190169389824,-0.11617913252545908,293.0,1.0,0.7542662116040956,0.38764778551395984,1.0,False,False,False,-0.06229014384214672,0.06229014384214672,negligenciável
Baia da Ilha Grande,temp_med,obitos_i60_i69,P05_vs_P50,294.0,247,0.0,0.0,0.3707482993197279,0.29554655870445345,38333.5,0.1596735411794321,0.07520174061527446,,,,0.3708546762877133,1.0,False,False,False,0.05575752568233771,0.05575752568233771,negligenciável
Baia da Ilha Grande,temp_med,obitos_i60_i69,P95_vs_P50,,247,,0.0,,0.29554655870445345,37549.0,0.33755497189705086,0.05598927747302096,293.0,0.0,0.3515358361774744,0.5927794628436015,1.0,False,False,False,0.03768083901010073,0.03768083901010073,negligenciável
Baia da Ilha Grande,temp_med,obitos_i60_i64,P05_vs_P50,294.0,247,0.0,0.0,0.2585034013605442,0.16194331983805668,39339.5,0.015481652765900704,0.09656008152248755,,,,0.07961992851034648,1.0,False,True,False,0.08346415489272632,0.08346415489272632,negligenciável
Baia da Ilha Grande,temp_med,obitos_i60_i64,P95_vs_P50,,247,,0.0,,0.16194331983805668,36880.5,0.5482779988034749,0.03600889859197745,293.0,0.0,0.19795221843003413,0.7519241126447657,1.0,False,False,False,0.01920658827430877,0.01920658827430877,negligenciável
Baia da Ilha Grande,ur_med,internacoes_i60_i69,P05_vs_P50,293.0,326,1.0,1.0,0.7918088737201365,0.8312883435582822,47401.5,0.8615583456061999,-0.03947946983814565,,,,0.9122382482889176,1.0,False,False,False,-0.00748550011516154,0.00748550011516154,negligenciável
Baia da Ilha Grande,ur_med,internacoes_i60_i69,P95_vs_P50,,326,,1.0,,0.8312883435582822,49101.5,0.5672679957047033,-0.014961812946037267,294.0,1.0,0.8163265306122449,0.7563573276062712,1.0,False,False,False,0.024612912649722464,0.024612912649722464,negligenciável
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P05_vs_P50,293.0,326,0.0,0.5,0.7474402730375427,0.7852760736196319,47235.0,0.7967597803763828,-0.03783580058208924,,,,0.9034126643637727,1.0,False,False,False,-0.010971754014950062,0.010971754014950062,negligenciável
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P95_vs_P50,,326,,0.5,,0.7852760736196319,48923.0,0.6251411451550072,-0.009765869537999294,294.0,1.0,0.7755102040816326,0.8037529009135806,1.0,False,False,False,0.02088810984516506,0.02088810984516506,negligenciável
Baia da Ilha Grande,ur_med,obitos_i60_i69,P05_vs_P50,293.0,326,0.0,0.0,0.3412969283276451,0.25766871165644173,50995.5,0.05171114641542261,0.08362821667120335,,,,0.16923647917774673,1.0,False,False,False,0.06776733181180511,0.06776733181180511,negligenciável
Baia da Ilha Grande,ur_med,obitos_i60_i69,P95_vs_P50,,326,,0.0,,0.25766871165644173,49915.0,0.22463227696834553,0.03484829514627935,294.0,0.0,0.2925170068027211,0.45559222371044733,1.0,False,False,False,0.041588414506907055,0.041588414506907055,negligenciável
Baia da Ilha Grande,ur_med,obitos_i60_i64,P05_vs_P50,293.0,326,0.0,0.0,0.21843003412969283,0.15950920245398773,50238.0,0.07948172352184213,0.05892083167570511,,,,0.22890736374290532,1.0,False,False,False,0.05190644695240688,0.05190644695240688,negligenciável
Baia da Ilha Grande,ur_med,obitos_i60_i64,P95_vs_P50,,326,,0.0,,0.15950920245398773,48697.0,0.5674402929608042,0.007157464212678932,294.0,0.0,0.16666666666666666,0.7496458916179433,1.0,False,False,False,0.016172113016985935,0.016172113016985935,negligenciável
Baixada Litoranea,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,240,1.0,1.0,1.7235494880546076,1.5,39003.5,0.025177449260574615,0.22354948805460761,,,,0.10358721981493556,1.0,False,False,False,0.10931456200227531,0.10931456200227531,negligenciável
Baixada Litoranea,temp_med,internacoes_i60_i69,P95_vs_P50,,240,,1.0,,1.5,40386.5,0.0024133108451690386,0.37030716723549495,293.0,2.0,1.870307167235495,0.026732058592641657,0.34751676170434154,True,True,False,0.1486490329920364,0.1486490329920364,pequeno
Baixada Litoranea,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,240,1.0,1.0,1.651877133105802,1.4375,39040.0,0.02358385134450467,0.21437713310580198,,,,0.10291135132147493,1.0,False,False,False,0.11035267349260523,0.11035267349260523,negligenciável
Baixada Litoranea,temp_med,internacoes_i60_i64,P95_vs_P50,,240,,1.0,,1.4375,39962.5,0.005187919335110347,0.32017918088737196,293.0,2.0,1.757679180887372,0.043944728485640586,0.7470603842558899,True,True,False,0.13658987485779295,0.13658987485779295,negligenciável
Baixada Litoranea,temp_med,obitos_i60_i69,P05_vs_P50,293.0,240,1.0,1.0,1.075085324232082,0.9833333333333333,37236.5,0.21487772476859135,0.09175199089874864,,,,0.4484404690822776,1.0,False,False,False,0.05905858930602958,0.05905858930602958,negligenciável
Baixada Litoranea,temp_med,obitos_i60_i69,P95_vs_P50,,240,,1.0,,0.9833333333333333,34139.0,0.5399428298667908,-0.0550056882821387,293.0,1.0,0.9283276450511946,0.754871529134154,1.0,False,False,False,-0.0290386803185438,0.0290386803185438,negligenciável
