macro_regiao,dia_tipo,exposicao,outcome,contrast,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baia da Ilha Grande,Util,temp_med,internacoes_i60_i69,P05_vs_P50,28142.5,0.5388894336686262,-0.030321302437763802,-0.020949263502455073,0.7760007844828217,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,internacoes_i60_i69,P95_vs_P50,27343.5,0.27377493441881195,-0.05382539188207204,-0.09829059829059839,0.525647874084119,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,internacoes_i60_i64,P05_vs_P50,28337.0,0.6304358349197525,-0.023619605478508054,-0.006615556895512076,0.8105603591825389,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,internacoes_i60_i64,P95_vs_P50,27451.5,0.30579752717105224,-0.05008823834734766,-0.09694107062528112,0.5574030875016649,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,obitos_i60_i69,P05_vs_P50,30004.5,0.41208809136467106,0.033835817038504606,0.05338961150831251,0.6743259676876435,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,obitos_i60_i69,P95_vs_P50,30249.0,0.261362142710735,0.04671441918405481,0.0719748088169141,0.5085966020317005,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,obitos_i60_i64,P05_vs_P50,31064.5,0.0481800075830296,0.070359204065811,0.08486519080024119,0.20405650270459597,1.0,False,False,False
Baia da Ilha Grande,Util,temp_med,obitos_i60_i64,P95_vs_P50,29485.0,0.5477574221908033,0.020277518253226757,0.04318488529014844,0.7657967844220939,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,internacoes_i60_i69,P05_vs_P50,35517.5,0.1284381286182908,-0.06880866236694458,-0.15180116407110267,0.3031982052628504,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,internacoes_i60_i69,P95_vs_P50,39305.5,0.5682842122700631,0.026119305573684897,-0.014267066962537545,0.7720087411970669,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,internacoes_i60_i64,P05_vs_P50,35384.0,0.10732335961767514,-0.07230874102039746,-0.14425043259399084,0.297203149710485,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,internacoes_i60_i64,P95_vs_P50,39058.0,0.6655483403653301,0.01965800809293826,-0.01506330766218511,0.826197939763858,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,obitos_i60_i69,P05_vs_P50,40943.5,0.0472125041985518,0.0734492160872529,0.08848513449740442,0.20601820013913516,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,obitos_i60_i69,P95_vs_P50,39423.5,0.41760241405618337,0.029199843362485316,0.014671713875473169,0.6756713216189933,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,obitos_i60_i64,P05_vs_P50,40104.0,0.10002584453791262,0.05143935818782445,0.05416601122122594,0.28807443226918833,1.0,False,False,False
Baia da Ilha Grande,Util,ur_med,obitos_i60_i64,P95_vs_P50,38607.0,0.7908156976353747,0.007884088239133273,-0.002062393943349422,0.8896676598397966,1.0,False,False,False
Baixada Litoranea,Util,temp_med,internacoes_i60_i69,P05_vs_P50,32185.0,0.004570498042419385,0.14618945868945868,0.2991452991452992,0.05484597650903262,0.6581517181083915,False,True,False
Baixada Litoranea,Util,temp_med,internacoes_i60_i69,P95_vs_P50,31786.0,0.010560296174401558,0.131980056980057,0.30341880341880345,0.06912193859608293,1.0,False,True,False
