macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Metropolitana II,ur_med,internacoes_i60_i64,P95_vs_P50,,328,,6.0,,6.795731707317073,29105.5,8.905845217207946e-18,-2.2345072175211547,294.0,4.0,4.561224489795919,1.2824417112779443e-15,1.2824417112779443e-15,True,True,True,-0.3963518334162933,0.3963518334162933,médio
Metropolitana II,ur_med,internacoes_i60_i69,P95_vs_P50,,328,,7.0,,6.984756097560975,29340.0,2.223058702310014e-17,-2.2568649410983905,294.0,4.0,4.727891156462585,1.6006022656632102e-15,3.2012045313264203e-15,True,True,True,-0.39148830263812845,0.39148830263812845,médio
Metropolitana II,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,339,4.0,6.0,4.6825938566552905,6.4188790560471976,34344.5,1.696646556395616e-11,-1.736285199391907,,,,6.107927603024218e-10,2.443171041209687e-09,True,True,True,-0.3084559082626073,0.3084559082626073,pequeno
Metropolitana II,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,339,5.0,6.0,5.122866894197952,6.657817109144543,34326.0,1.6310520179293362e-11,-1.5349502149465906,,,,7.829049686060814e-10,2.3487149058182443e-09,True,True,True,-0.30882841523452836,0.30882841523452836,pequeno
Metropolitana I,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,247,22.0,19.0,22.085324232081913,19.31578947368421,44859.5,1.5351140480085509e-06,2.769534758397704,,,,4.421128458264626e-05,0.0002210564229132313,True,True,True,0.23970927581489823,0.23970927581489823,pequeno
Metropolitana I,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,247,24.0,21.0,24.911262798634812,22.275303643724698,43561.5,4.3774034469388916e-05,2.6359591549101147,,,,0.001050576827265334,0.006303460963592004,True,True,True,0.20383855411698057,0.20383855411698057,pequeno
Centro-Sul,ur_med,internacoes_i60_i64,P95_vs_P50,,289,,2.0,,1.740484429065744,35009.0,0.00018985594010987214,-0.37529671575516366,293.0,1.0,1.3651877133105803,0.0039056079108316555,0.02733925537582159,True,True,True,-0.17311666686349303,0.17311666686349303,pequeno
Serrana,ur_med,internacoes_i60_i64,P95_vs_P50,,329,,3.0,,3.127659574468085,40169.5,0.0002702979587166877,-0.636191997676276,293.0,2.0,2.491467576791809,0.004865363256900379,0.03892290605520303,True,True,True,-0.1665819475709825,0.1665819475709825,pequeno
Centro-Sul,ur_med,internacoes_i60_i69,P95_vs_P50,,289,,2.0,,1.8961937716262975,35536.5,0.0005569174395293325,-0.2989241470529187,293.0,1.0,1.5972696245733788,0.00891067903246932,0.08019611129222388,True,True,False,-0.16065755754218974,0.16065755754218974,pequeno
Metropolitana II,temp_med,internacoes_i60_i69,P95_vs_P50,,339,,6.0,,6.657817109144543,56916.0,0.0014637214598122905,0.7858688976813957,293.0,7.0,7.4436860068259385,0.021077589021296982,0.21077589021296983,True,True,False,0.14603280074904104,0.14603280074904104,negligenciável
