macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Metropolitana II,ur_med,internacoes_i60_i64,P95_vs_P50,231,328,4.0,6.0,4.428571428571429,6.795731707317073,2.361827955740427,3.413260557785782,21878.5,1.162325570437502e-17,0.31513303769401335,2.0343682153708952e-12,0.28875646711012565,7.685342717694349e-06,47.885643684086546,4.518179029522497e-12,-0.4224870657797487,-2.0,-3.0,-2.0,,,,,,,5.858980460268179e-10,5.858980460268179e-10,True,True,True,5.858980460268179e-10,True
Metropolitana II,ur_med,internacoes_i60_i69,P95_vs_P50,231,328,4.0,7.0,4.597402597402597,6.984756097560975,2.445561791138995,3.4899349094530283,22121.0,3.5636694164368396e-17,0.31354925562242636,2.6917379057165345e-12,0.2919570267131243,1.0974713199759013e-05,49.40382919090078,2.0833858763129478e-12,-0.4160859465737515,-2.0,-3.0,-2.0,,,,,,,3.8761025842318095e-10,7.752205168463619e-10,True,True,True,3.8761025842318095e-10,True
Metropolitana II,temp_med,internacoes_i60_i69,P05_vs_P50,234,339,5.0,6.0,5.1923076923076925,6.657817109144543,5.050322048564263,3.517468746901668,27413.5,2.6085978234002816e-10,0.2372362151123214,2.4590940159539667e-07,0.3455802637218567,0.0013621984224494274,27.842699576767153,1.3158965191361668e-07,-0.30883947255628674,-2.0,-2.0,-1.0,,,,,,,1.770547691486856e-05,7.082190765947424e-05,True,True,True,1.770547691486856e-05,True
Metropolitana II,temp_med,internacoes_i60_i64,P05_vs_P50,234,339,4.0,6.0,4.696581196581197,6.4188790560471976,2.2921803759490107,3.368480997454241,27552.0,4.0705980494202746e-10,0.2415475380077151,1.3720634160380247e-07,0.34732622343241815,0.0015498094408375111,24.640967076739425,6.906773053566162e-07,-0.30534755313516376,-2.0,-2.0,-1.0,,,,,,,1.3171808793965037e-05,3.951542638189511e-05,True,True,True,1.3171808793965037e-05,True
Metropolitana I,temp_med,internacoes_i60_i64,P05_vs_P50,234,247,22.0,19.0,22.632478632478634,19.31578947368421,6.856400454299208,7.44354417484065,37101.0,7.117000826034735e-08,0.19613135402609083,0.00015638200265760216,0.6419080244991175,0.005723287513293996,16.181556853707804,5.75517256437402e-05,0.28381604899823526,3.0,2.0,5.0,,,,,,,0.007506336127564903,0.04503801676538942,True,True,True,0.007506336127564903,True
Metropolitana I,temp_med,internacoes_i60_i69,P05_vs_P50,234,247,24.0,21.0,25.20940170940171,22.275303643724698,9.266412862286897,11.070491716772128,36096.5,2.2757143397136614e-06,0.19703103913630227,0.00014338895752385306,0.6245285303989757,0.016004043610679683,14.777303623872957,0.00012098290669467422,0.24905706079795148,3.0,2.0,5.0,,,,,,,0.008259203953373937,0.04129601976686968,True,True,True,0.008259203953373937,True
Metropolitana II,temp_med,internacoes_i60_i64,P01_vs_P50,59,339,4.0,6.0,4.627118644067797,6.4188790560471976,2.246641976898915,3.368480997454241,6792.5,7.772649583076473e-05,0.24278786060696966,0.004297258455434723,0.33960801959902004,0.15312312606912995,11.134226959962634,0.0008474924246981572,-0.3207839608019599,-2.0,-2.0,-1.0,0.014,,,,,,0.13751227057391113,1.0,False,False,False,0.13751227057391113,False
Metropolitana II,ur_med,internacoes_i60_i69,P99_vs_P50,63,328,5.0,7.0,5.2063492063492065,6.984756097560975,2.9013337390511476,3.4899349094530283,7219.0,0.00014114970894254107,0.24675764614788998,0.002521161437603409,0.349351529229578,0.15506521128853792,7.994858326277031,0.004691037070268058,-0.30129694154084397,-2.0,-2.0,-1.0,0.0555,107.19800870839175,5.275312280270852e-24,60697.0,103287.0,3.1830528777444266e-34,0.09076181175372272,0.7260944940297818,False,True,False,0.09076181175372272,False
Metropolitana II,temp_med,internacoes_i60_i69,P01_vs_P50,59,339,4.0,6.0,4.8474576271186445,6.657817109144543,2.342051536740153,3.517468746901668,6912.5,0.00014334170739420775,0.23928803559822015,0.005048564891401173,0.3456077196140193,0.16982359644420741,6.774498112505178,0.009246948969373626,-0.3087845607719614,-2.0,-3.0,-1.0,0.004,,,,,,0.13218060806577617,1.0,False,False,False,0.13218060806577617,False
Metropolitana II,ur_med,internacoes_i60_i64,P99_vs_P50,63,328,5.0,6.0,5.0476190476190474,6.795731707317073,2.7969857439216024,3.413260557785782,7227.0,0.0001463207079936942,0.21626984126984117,0.011789361809197794,0.3497386759581882,0.15607713858168384,7.340850257275275,0.006740494991453615,-0.30052264808362367,-2.0,-2.0,-1.0,0.364,106.5866731869045,7.161401044273084e-24,60907.0,103287.0,6.649674576053143e-34,0.1997256588852332,1.0,False,False,False,0.1997256588852332,False
Centro-Sul,ur_med,internacoes_i60_i64,P95_vs_P50,234,289,1.0,2.0,1.3547008547008548,1.740484429065744,1.2116948451204936,1.301498114936457,27805.5,0.0003000538584815478,0.1488628633957354,0.00565044473207985,0.41116582379558153,0.06949257572356722,11.004582175725723,0.0009088691844417383,-0.17766835240883683,0.0,-1.0,0.0,,,,,,,0.11623772020278549,1.0,False,False,False,0.11623772020278549,False
Centro-Sul,ur_med,internacoes_i60_i69,P95_vs_P50,234,289,1.0,2.0,1.6153846153846154,1.8961937716262975,1.696382041745958,1.444337245971181,28345.0,0.0010474493724265724,0.14927690533226873,0.005465589519736495,0.4191435246798569,0.10052579368114493,10.953719297957912,0.0009341591627323843,-0.1617129506402863,0.0,-1.0,0.0,,,,,,,0.1210838293603162,1.0,False,False,False,0.1210838293603162,False
