estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
macro_regiao,ur_med,P95_vs_P50,,328,,,10.0,,10.070121951219512,30452.0,1.5569495771196691e-15,-2.4000539240086276,294.0,7.0,7.670068027210885,,,,Metropolitana II,3.129468650010535e-13,3.129468650010535e-13,True,True,True
macro_regiao,temp_med,P05_vs_P50,293.0,338,,8.0,9.0,8.450511945392492,9.674556213017752,38009.0,4.236931930349977e-07,-1.2240442676252599,,,,,,,Metropolitana II,4.2581165900017266e-05,8.516233180003453e-05,True,True,True
desfecho,temp_med,P95_vs_P50,,2189,,,1.0,,2.935130196436729,2657973.0,1.1903224390162904e-06,-0.19812829890352246,2635.0,1.0,2.7370018975332067,,obito,,,7.975160341409146e-05,0.00023925481024227437,True,True,True
sexo_desfecho,temp_med,P95_vs_P50,,2189,1,,1.0,,1.46094106898127,2685714.5,6.860952257747377e-06,-0.18276270085982804,2635.0,0.0,1.278178368121442,,obito,,,0.0003447628509518057,0.0013790514038072227,True,True,True
desfecho,ur_med,P95_vs_P50,,2825,,,3.0,,5.587256637168141,3472535.0,9.047729990080048e-06,-0.5868778492893538,2640.0,2.0,5.0003787878787875,,internacao,,,0.00036371874560121794,0.0018185937280060897,True,True,True
sexo_desfecho,ur_med,P95_vs_P50,,2825,1,,1.0,,2.8831858407079647,3482086.0,1.3956330671527096e-05,-0.30098887101099514,2640.0,1.0,2.5821969696969695,,internacao,,,0.00046753707749615773,0.0028052224649769463,True,True,True
cid_grupo,ur_med,P95_vs_P50,,2335,,,3.0,,5.8659528907922915,2332098.5,3.0117347831520456e-05,-0.7571156814899656,2150.0,3.0,5.108837209302326,,,I64_nao_especificado,,0.0008647981305908017,0.0060535869141356115,True,True,True
faixa_etaria,ur_med,P95_vs_P50,,2825,,,0.0,,0.9493805309734513,3533775.5,0.00015878793824257553,-0.1467290158219362,2640.0,0.0,0.8026515151515151,80+,,,,0.002775337007544146,0.03191637558675768,True,True,True
faixa_etaria_desfecho,ur_med,P95_vs_P50,,2825,,,0.0,,0.9493805309734513,3533775.5,0.00015878793824257553,-0.1467290158219362,2640.0,0.0,0.8026515151515151,80+,internacao,,,0.002775337007544146,0.03191637558675768,True,True,True
faixa_etaria,ur_med,P95_vs_P50,,2825,,,1.0,,2.895221238938053,3511954.0,0.00013217466244559926,-0.24370608742290178,2640.0,1.0,2.6515151515151514,60-79,,,,0.002796537594901626,0.02656710715156545,True,True,True
faixa_etaria_desfecho,ur_med,P95_vs_P50,,2825,,,1.0,,2.895221238938053,3511954.0,0.00013217466244559926,-0.24370608742290178,2640.0,1.0,2.6515151515151514,60-79,internacao,,,0.002796537594901626,0.02656710715156545,True,True,True
macro_regiao,temp_med,P05_vs_P50,293.0,247,,39.0,36.0,40.77133105802048,37.60323886639676,43135.0,0.00011840928998986818,3.168092191623721,,,,,,,Metropolitana I,0.002975033410995438,0.023800267287963504,True,True,True
macro_regiao,ur_med,P95_vs_P50,,335,,,38.0,,38.698507462686564,40636.5,0.00019652968308631793,-2.469838520707043,293.0,36.0,36.22866894197952,,,,Metropolitana I,0.0030386512538730696,0.039502466300349905,True,True,True
sexo,ur_med,P95_vs_P50,,1347,2,,2.0,,3.250927988121752,791005.0,0.00034916744288482983,-0.29895948418474383,1270.0,1.0,2.951968503937008,,,,,0.005013046858560771,0.0701826560198508,True,True,False
