macro_regiao,outcome,exposure,rr_p05,rr_p95,p_fdr_p05,lb_pvalue,status,classificacao
Baia da Ilha Grande,internacoes_i60_i69,temp_med,1.2813573311409243,0.9183709737059048,0.15032362857882897,7.630147762716089e-5,valido,evidencia_insuficiente
Baia da Ilha Grande,internacoes_i60_i69,ur_med,0.8474092963665959,1.0994006343193343,0.13419529829790552,3.820048903613315e-5,valido,evidencia_insuficiente
Baia da Ilha Grande,obitos_i60_i69,temp_med,1.6626066970342728,1.2750842071594208,0.14834225516837682,0.06340748347999414,valido,evidencia_insuficiente
Baia da Ilha Grande,obitos_i60_i69,ur_med,1.1773440141622025,0.932042961227613,0.07229705744991713,0.05179874054232836,valido,sinal_sugestivo
Baia da Ilha Grande,internacoes_i60_i64,temp_med,1.3499923967641558,0.894825328506582,0.1340068306270064,1.802548655667202e-4,valido,evidencia_insuficiente
Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.8540948905904385,1.1734632682205142,0.11653127866462738,8.132182170261792e-5,valido,evidencia_insuficiente
Baia da Ilha Grande,obitos_i60_i64,temp_med,1.980734036269787,1.25552208110525,0.19605718833598315,0.0016596690909707,valido,evidencia_insuficiente
Baia da Ilha Grande,obitos_i60_i64,ur_med,1.1830617053264636,0.9042167818170924,0.1300187443135448,0.00172388121400657,valido,evidencia_insuficiente
Baixada Litoranea,internacoes_i60_i69,temp_med,0.9249922880187372,0.9840851293399964,0.2839424907436276,0.01056649387589037,valido,evidencia_insuficiente
Baixada Litoranea,internacoes_i60_i69,ur_med,1.1488043883741583,1.0473001914592692,0.24146517980929463,0.01335307641752014,valido,evidencia_insuficiente
Baixada Litoranea,obitos_i60_i69,temp_med,1.3215069573180835,0.924846726244008,0.4182987646506703,0.4371355247664363,valido,evidencia_insuficiente
Baixada Litoranea,obitos_i60_i69,ur_med,1.3415106706886255,1.1709372278577033,0.2703676804533361,0.4351920576021606,valido,evidencia_insuficiente
Baixada Litoranea,internacoes_i60_i64,temp_med,0.917615602737515,0.9965024879633424,0.13419529829790552,0.0068299491512459,valido,evidencia_insuficiente
Baixada Litoranea,internacoes_i60_i64,ur_med,1.1739810621835665,1.063840977089461,0.36603446073788576,0.01050833629181458,valido,evidencia_insuficiente
Baixada Litoranea,obitos_i60_i64,temp_med,1.577146210017646,0.8934436047211127,0.3041023888703654,0.03627400164428962,valido,evidencia_insuficiente
Baixada Litoranea,obitos_i60_i64,ur_med,1.444668263041834,1.3403725818330017,0.33752943693072207,0.03944952740808305,valido,evidencia_insuficiente
Centro-Sul,internacoes_i60_i69,temp_med,1.047393899030258,0.979621194300304,0.7527761441905806,0.02586341155439142,valido,evidencia_insuficiente
Centro-Sul,internacoes_i60_i69,ur_med,1.02917493558715,1.0163992432983489,0.443515140583032,0.02584085121849089,valido,evidencia_insuficiente
