arquivo,tamanho_kb,n_linhas,n_colunas,origem
comparacao_estabilidade_lags_dlnm.csv,17.2236328125,72,13,pipeline anterior
contagens_descritivas_sexo_idade_cid.csv,39.26171875,656,6,pipeline anterior
diagnosticos_residuos_modelos_fdr_i60_i69.csv,3.1318359375,19,2,pipeline anterior
diagnosticos_residuos_modelos_prioritarios.csv,0.1982421875,1,2,pipeline anterior
estabilidade_sensibilidade_priors.csv,9.1318359375,72,7,pipeline anterior
estimativas_completas_corrigidas.csv,100.310546875,144,47,pipeline_corrigido.R
extremos_percentis_dlnm.csv,91.3564453125,512,11,pipeline anterior
fracao_numero_associados_extremos_climaticos.csv,92.9169921875,384,11,pipeline anterior
internacoes_mensais_i60_i69.csv,5.8076171875,192,5,pipeline anterior
modelos_prioritarios_dlnm.csv,4.21875,5,22,pipeline anterior
priorizacao_achados_principais_com_cautela.csv,9.02734375,8,61,pipeline anterior
priorizacao_achados_principais_com_cautela_20260619_114632.csv,9.029296875,8,61,pipeline anterior
priorizacao_achados_principais_robustos.csv,2.9453125,2,61,pipeline anterior
priorizacao_achados_principais_robustos_20260619_114632.csv,2.9462890625,2,61,pipeline anterior
priorizacao_exploratorios_magnitude_alta.csv,8.427734375,9,61,pipeline anterior
priorizacao_exploratorios_magnitude_alta_20260619_114632.csv,8.150390625,9,61,pipeline anterior
priorizacao_ranking_final_narrativo.csv,114.0400390625,128,61,pipeline anterior
priorizacao_ranking_final_narrativo_20260619_114632.csv,112.046875,126,61,pipeline anterior
priorizacao_robusta_todos_modelos.csv,114.0400390625,128,61,pipeline anterior
priorizacao_robusta_todos_modelos_20260619_114632.csv,112.046875,126,61,pipeline anterior
ranking_modelos_rr_ic95_auc_residuos_bayes.csv,48.73046875,72,40,pipeline anterior
resultados_bayesianos_corrigidos.csv,96.1943359375,144,45,pipeline_corrigido.R
sazonalidade_diaria_clima_inmet.csv,281.5498046875,5844,4,pipeline anterior
sazonalidade_mensal_internacoes_i60_i69.csv,0.509765625,12,6,pipeline anterior
sensibilidade_df_spline_modelos_fdr_i60_i69.csv,72.357421875,153,21,pipeline anterior
sensibilidade_lags_dlnm.csv,110.66015625,216,21,pipeline anterior
sensibilidade_priors_bayesianos.csv,119.7509765625,216,28,pipeline anterior
sensibilidade_sazonal_dlnm.csv,18.6328125,36,20,pipeline anterior
sensibilidade_sem_pandemia_dlnm.csv,35.220703125,72,19,pipeline anterior
tabela_auc_rr_dlnm_heat_index.csv,9.36328125,18,19,pipeline anterior
tabela_auc_rr_dlnm_macrorregiao.csv,70.4873046875,128,21,pipeline anterior
tabela_evidencia_integrada_dlnm.csv,99.5634765625,128,34,pipeline anterior
tabela_exposicao_por_regiao.csv,1.7080078125,9,14,generate_final_deliverables.R
tabela_principal_vs_sem_pandemia_fdr_i60_i69.csv,4.5517578125,17,18,pipeline anterior
tabela_rr_dlnm_corrigida.csv,35.27734375,72,34,pipeline_corrigido.R
tabela_rr_dlnm_macrorregiao.csv,264.494140625,640,20,pipeline anterior
validacao_bayesiana_hierarquica_dlnm.csv,48.73046875,72,40,pipeline anterior
validacao_bayesiana_modelos_defesa.csv,4.1953125,4,43,pipeline anterior
