codigo_estacao,municipio,macro_regiao,latitude,longitude,altitude,data_inicio,metodo
A628,Angra Dos Reis,Baia da Ilha Grande,-22.97555554,-44.30333333,6,2017-08-24T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A606,Arraial Do Cabo,Baixada Litoranea,-22.97527777,-42.02138888,5,2006-09-21T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A604,Cambuci,Noroeste,-21.58749999,-41.95833333,46,2002-11-19T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A607,Campos Dos Goytacazes,Norte,-21.71472222,-41.34388888,17,2006-09-24T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A620,Campos Dos Goytacazes - Sao Tome,Norte,-22.04166666,-41.05166666,7,2008-06-12T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A629,Carmo,Serrana,-21.9386111,-42.60083333,293,2018-10-10T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A603,Duque De Caxias - Xerem,Metropolitana I,-22.58972221,-43.28222221,22,2002-10-20T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A608,Macae,Norte,-22.3761111,-41.81194444,28,2006-09-21T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A627,Niteroi,Metropolitana II,-22.86749999,-43.10194444,6,2018-07-12T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A624,Nova Friburgo - Salinas,Serrana,-22.33472221,-42.67694443,1070,2010-09-17T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A619,Paraty,Baia da Ilha Grande,-23.2236111,-44.72694443,3,2006-11-18T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A610,Pico Do Couto,Serrana,-22.46472222,-43.29138888,1777,2006-10-21T00:00:00Z,alias_municipal_inmet_validado_por_lookup
A637,Paty Do Alferes - Avelar,Centro-Sul,-22.34722221,-43.41777777,508,2022-11-09T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A609,Resende,Medio Paraiba,-22.45138888,-44.44499999,438.83,2006-09-28T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A626,Rio Claro,Medio Paraiba,-22.653579,-44.040916,516,2016-06-02T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A652,Rio De Janeiro - Forte De Copacabana,Metropolitana I,-22.98833333,-43.19055555,25.59,2007-05-17T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A636,Rio De Janeiro - Jacarepagua,Metropolitana I,-22.93999999,-43.40277777,20,2017-08-09T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A621,Rio De Janeiro - Vila Militar,Metropolitana I,-22.86138888,-43.41138888,30.43,2007-04-12T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A602,Rio De Janeiro-Marambaia,Metropolitana I,-23.05027777,-43.59555555,12,2002-11-07T00:00:00Z,alias_municipal_inmet_validado_por_lookup
A630,Santa Maria Madalena,Serrana,-21.95055555,-42.01027777,586,2018-10-15T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A667,Saquarema - Sampaio Correia,Baixada Litoranea,-22.8711111,-42.60888888,26,2015-09-01T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A601,Seropedica-Ecologia Agricola,Metropolitana I,-22.75777777,-43.68472221,35,2000-05-23T00:00:00Z,alias_municipal_inmet_validado_por_lookup
A659,Silva Jardim,Metropolitana II,-22.64583333,-42.41555555,19,2015-08-27T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A618,Teresopolis-Parque Nacional,Serrana,-22.4486111,-42.98694444,981,2006-10-31T00:00:00Z,alias_municipal_inmet_validado_por_lookup
A625,Tres Rios,Centro-Sul,-22.09833333,-43.20833333,295,2016-06-07T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
A611,Valenca,Medio Paraiba,-22.35805555,-43.69555555,370,2006-09-26T00:00:00Z,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria
