outcome,exposure,contraste,n_macroregioes,moran_i,moran_i_expectation,moran_p
internacoes_i60_i69,temp_med,rr_p05,9,-0.18564758336815734,-0.125,0.7130653441852692
internacoes_i60_i69,ur_med,rr_p05,9,-0.022332724882538117,-0.125,0.5807425516202306
obitos_i60_i69,temp_med,rr_p05,9,-0.09883306118929917,-0.125,0.8820967144452116
obitos_i60_i69,ur_med,rr_p05,9,-0.1967196816913825,-0.125,0.6797301659378482
internacoes_i60_i64,temp_med,rr_p05,9,-0.05385867926755356,-0.125,0.6294479295563359
internacoes_i60_i64,ur_med,rr_p05,9,0.39599683523627655,-0.125,0.003922718715370001
obitos_i60_i64,temp_med,rr_p05,9,-0.18267768855390418,-0.125,0.7498707893219938
obitos_i60_i64,ur_med,rr_p05,9,-0.10294519656932688,-0.125,0.8959428316609868
internacoes_i60_i69,temp_med,rr_p95,9,0.06386919541765451,-0.125,0.21443282906878874
internacoes_i60_i69,ur_med,rr_p95,9,-0.0678365615252838,-0.125,0.7526385287117587
obitos_i60_i69,temp_med,rr_p95,9,0.0431433973418485,-0.125,0.34626809048269375
obitos_i60_i69,ur_med,rr_p95,9,-0.42518176127045226,-0.125,0.10337094624676639
internacoes_i60_i64,temp_med,rr_p95,9,0.2182867934950721,-0.125,0.04451185440986578
internacoes_i60_i64,ur_med,rr_p95,9,-0.006178491295846363,-0.125,0.3705716844203853
obitos_i60_i64,temp_med,rr_p95,9,0.015405216517149493,-0.125,0.42917731582462726
obitos_i60_i64,ur_med,rr_p95,9,-0.3756100380911785,-0.125,0.1686079930106268
