macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P05_vs_P50,235,247,1.0,1.0,0.902127659574468,0.9230769230769231,1.1161273018414157,1.0131493000561653,28142.5,0.5388894336686262,0.04682573865104661,0.9381776794490793,0.48483934878111806,0.7588802368136331,0.16936084746184762,0.6806804684823776,-0.030321302437763802,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P95_vs_P50,234,247,1.0,1.0,0.8247863247863247,0.9230769230769231,0.9692190867412729,1.0131493000561653,27343.5,0.27377493441881195,0.04026090868196136,0.9839617142359955,0.47308730405896404,0.5844308373011127,0.8697826779328011,0.3510154795924624,-0.05382539188207204,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P01_vs_P50,59,247,1.0,1.0,0.8135593220338984,0.9230769230769231,0.929271197415105,1.0131493000561653,6912.5,0.5134858587472358,0.04062307006107185,0.9999859129694313,0.4743361010087148,0.7966671421857603,0.045370107145307995,0.8313249355573368,-0.051327797982570506,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P99_vs_P50,59,247,0.0,1.0,0.711864406779661,0.9230769230769231,0.8645729318547017,1.0131493000561653,6493.0,0.16440802498965656,0.09147052768819047,0.7806259487125133,0.44554998970699244,0.5828941955816044,0.614768360542223,0.4329980662195404,-0.10890002058601524,0.0,0.0,0.0,,1.1873430399483471,0.5522957926503094,55704.0,85416.5,6.025789694984014e-23,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P05_vs_P50,235,247,1.0,1.0,0.8638297872340426,0.8704453441295547,1.0908566869452405,0.9771773176709693,28337.0,0.6304358349197525,0.043397364114049486,0.9663999523077599,0.48819019726074603,0.810072554318325,0.5330012254694355,0.4653478078535831,-0.023619605478508054,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P95_vs_P50,234,247,1.0,1.0,0.7735042735042735,0.8704453441295547,0.9175304240413864,0.9771773176709693,27451.5,0.30579752717105224,0.041160593792172795,0.9800074011111689,0.47495588082632617,0.608847357918873,0.2740024793504565,0.6006594246791994,-0.05008823834734766,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P01_vs_P50,59,247,1.0,1.0,0.7796610169491526,0.8704453441295547,0.9032483114897781,0.9771773176709693,6980.5,0.5909614023139538,0.051121937830234,0.9988474976117602,0.47900226446167576,0.8321516426837711,0.0,1.0,-0.0419954710766486,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P99_vs_P50,59,247,0.0,1.0,0.6779661016949152,0.8704453441295547,0.8721817173063463,0.9771773176709693,6480.0,0.15500153593013213,0.1091745007891306,0.5770222402519263,0.4446579290468675,0.57430574171292,0.152118351177336,0.6965191502548844,-0.11068414190626501,0.0,0.0,0.0,,1.0344342673542013,0.5961773234044725,54503.0,85416.5,1.0494424365950098e-24,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P05_vs_P50,235,247,0.0,0.0,0.34893617021276596,0.29554655870445345,0.5812211431136637,0.5224711650202633,30004.5,0.41208809136467106,0.031027650960461672,0.9994871692221631,0.5169179085192523,0.6819504189471085,0.2958993469950614,0.5864646562138065,0.033835817038504606,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P95_vs_P50,234,247,0.0,0.0,0.36752136752136755,0.29554655870445345,0.6076195756299563,0.5224711650202633,30249.0,0.261362142710735,0.04048582995951411,0.9830239837756718,0.5233572095920275,0.574554818444345,0.7749805753909589,0.37868066787601506,0.04671441918405481,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
