macro_regiao,outcome,exposure,lag,n_cases,exp_case_mean,exp_control_mean,or_estimate
Metropolitana I,internacoes_i60_i69,temp_med,0,5843,23.534114520140076,23.534114520140076,1
Metropolitana I,internacoes_i60_i69,temp_med,1,5842,23.53348071475914,23.533291828723158,1.0000080263329651
Metropolitana I,internacoes_i60_i69,temp_med,2,5841,23.532804891236744,23.5325951182371,1.0000089141464674
Metropolitana I,internacoes_i60_i69,temp_med,3,5840,23.532292529060584,23.531745583794567,1.0000232428684082
Metropolitana I,obitos_i60_i69,ur_med,0,5479,76.590509419995,76.590509419995,1
Metropolitana I,obitos_i60_i69,ur_med,1,5478,76.59080356799672,76.58948237413034,1.0000172503302727
Metropolitana I,obitos_i60_i69,ur_med,2,5477,76.59032427175372,76.58759529769691,1.000035632063472
Metropolitana I,obitos_i60_i69,ur_med,3,5476,76.58882087650262,76.58573360100605,1.0000403113654646
Serrana,internacoes_i60_i69,temp_med,0,5590,17.55842037662184,17.55842037662184,1
Serrana,internacoes_i60_i69,temp_med,1,5589,17.557727066019456,17.553746410201924,1.000226769586646
Serrana,internacoes_i60_i69,temp_med,2,5588,17.556981312094262,17.553768026993556,1.0001830538660283
Serrana,internacoes_i60_i69,temp_med,3,5587,17.55653269717659,17.557962103490375,0.9999185892812981
Norte,obitos_i60_i69,ur_med,0,4163,77.87676170508128,77.87676170508128,1
Norte,obitos_i60_i69,ur_med,1,4162,77.87656524118427,77.86818229014162,1.0001076556662312
Norte,obitos_i60_i69,ur_med,2,4161,77.878024267785,77.88712619753794,0.9998831394840546
Norte,obitos_i60_i69,ur_med,3,4160,77.87887969562713,77.87228016976523,1.0000847480752781
