macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P05_vs_P50,235,247,53.6,58.3,0.8900914120041944,0.34545253732467085,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P95_vs_P50,234,247,54.3,58.3,0.6366202637590288,0.4249373049699142,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P01_vs_P50,59,247,54.2,58.3,0.17686645938292792,0.6740801016382646,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i69,P99_vs_P50,59,247,49.2,58.3,1.2706874250755251,0.2596377590399324,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P05_vs_P50,235,247,52.3,56.7,0.7481519269758968,0.38706197311871293,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P95_vs_P50,234,247,52.6,56.7,0.6638019636450581,0.41522090728131855,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P01_vs_P50,59,247,52.5,56.7,0.18419066261687939,0.6677963141767507,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,internacoes_i60_i64,P99_vs_P50,59,247,45.8,56.7,1.8705053826093436,0.17141720863942628,0.8093140342320454,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P05_vs_P50,235,247,29.4,26.7,0.2958993469950614,0.5864646562138065,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P95_vs_P50,234,247,30.8,26.7,0.7749805753909588,0.37868066787601506,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P01_vs_P50,59,247,40.7,26.7,3.8216753585397667,0.05059362608961712,0.5203915826360619,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i69,P99_vs_P50,59,247,27.1,26.7,0.0,1.0,1.0,1.0,False,False,False
Baia da Ilha Grande,temp_med,obitos_i60_i64,P05_vs_P50,235,247,22.1,15.4,3.175378522098247,0.07475588850886837,0.6151341683015454,1.0,False,False,False
